state,district,pathogen,antibiotic,quarter,target_resistance,target_high_risk
Uttar Pradesh,Agra,Acinetobacter baumannii,Imipenem,2021-06-30,42.3,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Imipenem,2021-09-30,41.4,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Imipenem,2021-12-31,43.4,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Imipenem,2022-03-31,42.7,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Imipenem,2022-06-30,44.8,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Imipenem,2022-09-30,41.5,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Imipenem,2022-12-31,43.9,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Imipenem,2023-03-31,44.6,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Imipenem,2023-06-30,46.1,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Imipenem,2023-09-30,43.2,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Piperacillin-Tazobactam,2021-03-31,64.5,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Piperacillin-Tazobactam,2021-06-30,67.7,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Piperacillin-Tazobactam,2021-09-30,65.3,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Piperacillin-Tazobactam,2021-12-31,66.4,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Piperacillin-Tazobactam,2022-03-31,68.6,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Piperacillin-Tazobactam,2022-06-30,69.3,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Piperacillin-Tazobactam,2022-09-30,69.2,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Piperacillin-Tazobactam,2022-12-31,69.4,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Piperacillin-Tazobactam,2023-03-31,69.5,0
Uttar Pradesh,Agra,Acinetobacter baumannii,Piperacillin-Tazobactam,2023-06-30,73.7,1
Uttar Pradesh,Agra,Acinetobacter baumannii,Piperacillin-Tazobactam,2023-09-30,71.7,1
Uttar Pradesh,Agra,Escherichia coli,Amikacin,2021-03-31,16.6,0
Uttar Pradesh,Agra,Escherichia coli,Amikacin,2021-06-30,17.2,0
Uttar Pradesh,Agra,Escherichia coli,Amikacin,2021-09-30,16.2,0
Uttar Pradesh,Agra,Escherichia coli,Amikacin,2021-12-31,17.3,0
Uttar Pradesh,Agra,Escherichia coli,Amikacin,2022-03-31,17.4,0
Uttar Pradesh,Agra,Escherichia coli,Amikacin,2022-06-30,18.0,0
Uttar Pradesh,Agra,Escherichia coli,Amikacin,2022-09-30,17.0,0
Uttar Pradesh,Agra,Escherichia coli,Amikacin,2022-12-31,18.3,0
Uttar Pradesh,Agra,Escherichia coli,Amikacin,2023-03-31,18.2,0
Uttar Pradesh,Agra,Escherichia coli,Amikacin,2023-06-30,18.1,0
Uttar Pradesh,Agra,Escherichia coli,Amikacin,2023-09-30,17.5,0
Uttar Pradesh,Agra,Escherichia coli,Cefoperazone-Sulbactam,2021-03-31,31.4,0
Uttar Pradesh,Agra,Escherichia coli,Cefoperazone-Sulbactam,2021-06-30,31.3,0
Uttar Pradesh,Agra,Escherichia coli,Cefoperazone-Sulbactam,2021-09-30,31.2,0
Uttar Pradesh,Agra,Escherichia coli,Cefoperazone-Sulbactam,2021-12-31,31.7,0
Uttar Pradesh,Agra,Escherichia coli,Cefoperazone-Sulbactam,2022-03-31,32.9,0
Uttar Pradesh,Agra,Escherichia coli,Cefoperazone-Sulbactam,2022-06-30,34.1,0
Uttar Pradesh,Agra,Escherichia coli,Cefoperazone-Sulbactam,2022-09-30,31.9,0
Uttar Pradesh,Agra,Escherichia coli,Cefoperazone-Sulbactam,2022-12-31,32.9,0
Uttar Pradesh,Agra,Escherichia coli,Cefoperazone-Sulbactam,2023-03-31,32.8,0
Uttar Pradesh,Agra,Escherichia coli,Cefoperazone-Sulbactam,2023-06-30,33.8,0
Uttar Pradesh,Agra,Escherichia coli,Cefoperazone-Sulbactam,2023-09-30,33.1,0
Uttar Pradesh,Agra,Escherichia coli,Ceftriaxone,2021-03-31,60.1,0
Uttar Pradesh,Agra,Escherichia coli,Ceftriaxone,2021-06-30,64.4,0
Uttar Pradesh,Agra,Escherichia coli,Ceftriaxone,2021-09-30,60.0,0
Uttar Pradesh,Agra,Escherichia coli,Ceftriaxone,2021-12-31,65.9,0
Uttar Pradesh,Agra,Escherichia coli,Ceftriaxone,2022-03-31,65.9,0
Uttar Pradesh,Agra,Escherichia coli,Ceftriaxone,2022-06-30,67.9,0
Uttar Pradesh,Agra,Escherichia coli,Ceftriaxone,2022-09-30,63.1,0
Uttar Pradesh,Agra,Escherichia coli,Ceftriaxone,2022-12-31,68.7,0
Uttar Pradesh,Agra,Escherichia coli,Ceftriaxone,2023-03-31,65.4,0
Uttar Pradesh,Agra,Escherichia coli,Ceftriaxone,2023-06-30,67.9,0
Uttar Pradesh,Agra,Escherichia coli,Ceftriaxone,2023-09-30,66.9,0
Uttar Pradesh,Agra,Escherichia coli,Ciprofloxacin,2021-03-31,77.5,1
Uttar Pradesh,Agra,Escherichia coli,Ciprofloxacin,2021-06-30,78.6,1
Uttar Pradesh,Agra,Escherichia coli,Ciprofloxacin,2021-09-30,73.9,1
Uttar Pradesh,Agra,Escherichia coli,Ciprofloxacin,2021-12-31,77.4,1
Uttar Pradesh,Agra,Escherichia coli,Ciprofloxacin,2022-03-31,78.7,1
Uttar Pradesh,Agra,Escherichia coli,Ciprofloxacin,2022-06-30,81.0,1
Uttar Pradesh,Agra,Escherichia coli,Ciprofloxacin,2022-09-30,76.2,1
Uttar Pradesh,Agra,Escherichia coli,Ciprofloxacin,2022-12-31,81.4,1
Uttar Pradesh,Agra,Escherichia coli,Ciprofloxacin,2023-03-31,83.2,1
Uttar Pradesh,Agra,Escherichia coli,Ciprofloxacin,2023-06-30,84.0,1
Uttar Pradesh,Agra,Escherichia coli,Ciprofloxacin,2023-09-30,82.2,1
Uttar Pradesh,Agra,Escherichia coli,Colistin,2021-03-31,1.0,0
Uttar Pradesh,Agra,Escherichia coli,Colistin,2021-06-30,1.0,0
Uttar Pradesh,Agra,Escherichia coli,Colistin,2021-09-30,1.0,0
Uttar Pradesh,Agra,Escherichia coli,Colistin,2021-12-31,1.1,0
Uttar Pradesh,Agra,Escherichia coli,Colistin,2022-03-31,1.0,0
Uttar Pradesh,Agra,Escherichia coli,Colistin,2022-06-30,1.1,0
Uttar Pradesh,Agra,Escherichia coli,Colistin,2022-09-30,1.0,0
Uttar Pradesh,Agra,Escherichia coli,Colistin,2022-12-31,1.1,0
Uttar Pradesh,Agra,Escherichia coli,Colistin,2023-03-31,1.1,0
Uttar Pradesh,Agra,Escherichia coli,Colistin,2023-06-30,1.1,0
Uttar Pradesh,Agra,Escherichia coli,Colistin,2023-09-30,1.1,0
Uttar Pradesh,Agra,Escherichia coli,Gentamicin,2021-03-31,40.1,0
Uttar Pradesh,Agra,Escherichia coli,Gentamicin,2021-06-30,41.4,0
Uttar Pradesh,Agra,Escherichia coli,Gentamicin,2021-09-30,39.6,0
Uttar Pradesh,Agra,Escherichia coli,Gentamicin,2021-12-31,40.8,0
Uttar Pradesh,Agra,Escherichia coli,Gentamicin,2022-03-31,41.4,0
Uttar Pradesh,Agra,Escherichia coli,Gentamicin,2022-06-30,42.1,0
Uttar Pradesh,Agra,Escherichia coli,Gentamicin,2022-09-30,41.6,0
Uttar Pradesh,Agra,Escherichia coli,Gentamicin,2022-12-31,42.7,0
Uttar Pradesh,Agra,Escherichia coli,Gentamicin,2023-03-31,43.9,0
Uttar Pradesh,Agra,Escherichia coli,Gentamicin,2023-06-30,45.6,0
Uttar Pradesh,Agra,Escherichia coli,Gentamicin,2023-09-30,42.3,0
Uttar Pradesh,Agra,Escherichia coli,Imipenem,2021-03-31,7.4,0
Uttar Pradesh,Agra,Escherichia coli,Imipenem,2021-06-30,7.9,0
Uttar Pradesh,Agra,Escherichia coli,Imipenem,2021-09-30,7.6,0
Uttar Pradesh,Agra,Escherichia coli,Imipenem,2021-12-31,7.7,0
Uttar Pradesh,Agra,Escherichia coli,Imipenem,2022-03-31,8.0,0
Uttar Pradesh,Agra,Escherichia coli,Imipenem,2022-06-30,7.8,0
Uttar Pradesh,Agra,Escherichia coli,Imipenem,2022-09-30,7.8,0
Uttar Pradesh,Agra,Escherichia coli,Imipenem,2022-12-31,8.1,0
Uttar Pradesh,Agra,Escherichia coli,Imipenem,2023-03-31,8.1,0
Uttar Pradesh,Agra,Escherichia coli,Imipenem,2023-06-30,8.2,0
Uttar Pradesh,Agra,Escherichia coli,Imipenem,2023-09-30,8.3,0
Uttar Pradesh,Agra,Escherichia coli,Piperacillin-Tazobactam,2021-03-31,28.4,0
Uttar Pradesh,Agra,Escherichia coli,Piperacillin-Tazobactam,2021-06-30,30.0,0
Uttar Pradesh,Agra,Escherichia coli,Piperacillin-Tazobactam,2021-09-30,29.0,0
Uttar Pradesh,Agra,Escherichia coli,Piperacillin-Tazobactam,2021-12-31,30.6,0
Uttar Pradesh,Agra,Escherichia coli,Piperacillin-Tazobactam,2022-03-31,31.0,0
Uttar Pradesh,Agra,Escherichia coli,Piperacillin-Tazobactam,2022-06-30,30.7,0
Uttar Pradesh,Agra,Escherichia coli,Piperacillin-Tazobactam,2022-09-30,30.5,0
Uttar Pradesh,Agra,Escherichia coli,Piperacillin-Tazobactam,2022-12-31,31.6,0
Uttar Pradesh,Agra,Escherichia coli,Piperacillin-Tazobactam,2023-03-31,30.8,0
Uttar Pradesh,Agra,Escherichia coli,Piperacillin-Tazobactam,2023-06-30,33.2,0
Uttar Pradesh,Agra,Escherichia coli,Piperacillin-Tazobactam,2023-09-30,31.7,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Amikacin,2021-03-31,37.4,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Amikacin,2021-06-30,38.5,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Amikacin,2021-09-30,37.1,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Amikacin,2021-12-31,38.5,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Amikacin,2022-03-31,37.3,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Amikacin,2022-06-30,38.7,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Amikacin,2022-09-30,38.6,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Amikacin,2022-12-31,39.6,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Amikacin,2023-03-31,39.0,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Amikacin,2023-06-30,40.8,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Amikacin,2023-09-30,38.6,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Cefoperazone-Sulbactam,2021-03-31,52.3,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Cefoperazone-Sulbactam,2021-06-30,52.7,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Cefoperazone-Sulbactam,2021-09-30,51.2,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Cefoperazone-Sulbactam,2021-12-31,54.1,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Cefoperazone-Sulbactam,2022-03-31,52.8,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Cefoperazone-Sulbactam,2022-06-30,54.6,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Cefoperazone-Sulbactam,2022-09-30,53.0,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Cefoperazone-Sulbactam,2022-12-31,56.4,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Cefoperazone-Sulbactam,2023-03-31,55.3,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Cefoperazone-Sulbactam,2023-06-30,56.9,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Cefoperazone-Sulbactam,2023-09-30,56.0,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Ceftriaxone,2021-03-31,69.5,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Ceftriaxone,2021-06-30,71.5,1
Uttar Pradesh,Agra,Klebsiella pneumoniae,Ceftriaxone,2021-09-30,72.9,1
Uttar Pradesh,Agra,Klebsiella pneumoniae,Ceftriaxone,2021-12-31,73.6,1
Uttar Pradesh,Agra,Klebsiella pneumoniae,Ceftriaxone,2022-03-31,75.1,1
Uttar Pradesh,Agra,Klebsiella pneumoniae,Ceftriaxone,2022-06-30,77.0,1
Uttar Pradesh,Agra,Klebsiella pneumoniae,Ceftriaxone,2022-09-30,75.7,1
Uttar Pradesh,Agra,Klebsiella pneumoniae,Ceftriaxone,2022-12-31,76.8,1
Uttar Pradesh,Agra,Klebsiella pneumoniae,Ceftriaxone,2023-03-31,76.8,1
Uttar Pradesh,Agra,Klebsiella pneumoniae,Ceftriaxone,2023-06-30,78.2,1
Uttar Pradesh,Agra,Klebsiella pneumoniae,Ceftriaxone,2023-09-30,76.4,1
Uttar Pradesh,Agra,Klebsiella pneumoniae,Ciprofloxacin,2021-03-31,56.8,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Ciprofloxacin,2021-06-30,60.2,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Ciprofloxacin,2021-09-30,57.5,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Ciprofloxacin,2021-12-31,60.4,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Ciprofloxacin,2022-03-31,60.3,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Ciprofloxacin,2022-06-30,61.2,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Ciprofloxacin,2022-09-30,61.9,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Ciprofloxacin,2022-12-31,63.5,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Ciprofloxacin,2023-03-31,61.6,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Ciprofloxacin,2023-06-30,62.5,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Ciprofloxacin,2023-09-30,62.3,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Colistin,2021-03-31,2.7,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Colistin,2021-06-30,2.8,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Colistin,2021-09-30,2.6,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Colistin,2021-12-31,2.8,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Colistin,2022-03-31,2.7,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Colistin,2022-06-30,2.9,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Colistin,2022-09-30,2.7,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Colistin,2022-12-31,2.9,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Colistin,2023-03-31,2.9,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Colistin,2023-06-30,3.0,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Colistin,2023-09-30,2.8,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Gentamicin,2021-03-31,52.0,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Gentamicin,2021-06-30,53.8,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Gentamicin,2021-09-30,51.2,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Gentamicin,2021-12-31,52.7,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Gentamicin,2022-03-31,54.8,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Gentamicin,2022-06-30,55.6,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Gentamicin,2022-09-30,54.1,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Gentamicin,2022-12-31,57.8,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Gentamicin,2023-03-31,56.5,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Gentamicin,2023-06-30,58.3,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Gentamicin,2023-09-30,56.3,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Imipenem,2021-03-31,22.6,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Imipenem,2021-06-30,23.3,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Imipenem,2021-09-30,23.1,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Imipenem,2021-12-31,23.8,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Imipenem,2022-03-31,22.9,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Imipenem,2022-06-30,24.2,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Imipenem,2022-09-30,23.0,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Imipenem,2022-12-31,24.5,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Imipenem,2023-03-31,24.2,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Imipenem,2023-06-30,25.7,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Imipenem,2023-09-30,24.3,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Piperacillin-Tazobactam,2021-03-31,43.3,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Piperacillin-Tazobactam,2021-06-30,45.6,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Piperacillin-Tazobactam,2021-09-30,43.4,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Piperacillin-Tazobactam,2021-12-31,47.5,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Piperacillin-Tazobactam,2022-03-31,45.0,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Piperacillin-Tazobactam,2022-06-30,48.7,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Piperacillin-Tazobactam,2022-09-30,45.9,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Piperacillin-Tazobactam,2022-12-31,48.2,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Piperacillin-Tazobactam,2023-03-31,46.9,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Piperacillin-Tazobactam,2023-06-30,48.6,0
Uttar Pradesh,Agra,Klebsiella pneumoniae,Piperacillin-Tazobactam,2023-09-30,47.3,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Amikacin,2021-03-31,25.2,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Amikacin,2021-06-30,25.3,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Amikacin,2021-09-30,25.0,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Amikacin,2021-12-31,26.5,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Amikacin,2022-03-31,26.6,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Amikacin,2022-06-30,27.4,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Amikacin,2022-09-30,26.6,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Amikacin,2022-12-31,27.3,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Amikacin,2023-03-31,27.6,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Amikacin,2023-06-30,27.8,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Amikacin,2023-09-30,27.7,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Cefoperazone-Sulbactam,2021-03-31,27.6,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Cefoperazone-Sulbactam,2021-06-30,28.4,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Cefoperazone-Sulbactam,2021-09-30,26.8,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Cefoperazone-Sulbactam,2021-12-31,29.4,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Cefoperazone-Sulbactam,2022-03-31,28.4,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Cefoperazone-Sulbactam,2022-06-30,30.3,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Cefoperazone-Sulbactam,2022-09-30,28.5,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Cefoperazone-Sulbactam,2022-12-31,29.8,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Cefoperazone-Sulbactam,2023-03-31,30.6,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Cefoperazone-Sulbactam,2023-06-30,30.8,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Cefoperazone-Sulbactam,2023-09-30,29.5,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Ceftriaxone,2021-03-31,56.7,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Ceftriaxone,2021-06-30,59.2,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Ceftriaxone,2021-09-30,54.4,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Ceftriaxone,2021-12-31,57.0,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Ceftriaxone,2022-03-31,59.5,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Ceftriaxone,2022-06-30,61.1,0
Uttar Pradesh,Agra,Pseudomonas aeruginosa,Ceftriaxone,2022-09-30,59.2,0
